339692,Shot Caller
1949,Zodiac
345920,Collateral Beauty
334522,Alone in Berlin
440161,The Sisters Brothers
87827,Life of Pi
435577,The 12th Man
20662,Robin Hood
525554,The Bouncer
470878,I Can Only Imagine
530154,Lust Stories
19913,(500) Days of Summer
244761,The Captive
426613,The Miseducation of Cameron Post
296524,Deepwater Horizon
1538,Collateral
369523,The Tale
787,Mr. & Mrs. Smith
334541,Manchester by the Sea
227306,Unbroken
543709,Adriana Lecouvreur - Met Opera Live
394117,The Florida Project
418078,It Comes at Night
1495,Kingdom of Heaven
370663,Below Her Mouth
28178,Hachi: A Dog's Tale
399057,The Killing of a Sacred Deer
13374,Ice Princess
306819,The Danish Girl
72570,The Vow
491472,At Eternity's Gate
116745,The Secret Life of Walter Mitty
96721,Rush
371638,The Disaster Artist
84892,The Perks of Being a Wallflower
296098,Bridge of Spies
207932,Inferno
446791,All the Money in the World
1417,Pan's Labyrinth
45269,The King's Speech
110415,Snowpiercer
18240,The Proposal
241554,Run All Night
2567,The Aviator
523882,Aren't You Happy?
536413,"Junpei, Think Again"
254320,The Lobster
416194,The Quake
9693,Children of Men
483184,Dogman
393519,Raw
82695,Les Misérables
86834,Noah
44826,Hugo
1427,Perfume: The Story of a Murderer
507419,Inba Twinkle Lilly
561,Constantine
491584,Burning
372343,The Snowman
15472,The Girl with the Dragon Tattoo
76726,Chronicle
443463,Leave No Trace
429200,Good Time
347984,6 Days
570871,The Final Land
365942,The Space Between Us
13223,Gran Torino
295964,Burnt
418827,Sister's Younger Husband
169917,A Walk Among the Tombstones
4922,The Curious Case of Benjamin Button
395458,Suburbicon
429195,Dark River
70,Million Dollar Baby
333371,10 Cloverfield Lane
8456,Never Back Down
396461,Under the Silver Lake
566402,Vinaya Vidheya Rama
290098,The Handmaiden
487416,Golden Youth
378064,A Silent Voice
193756,Lone Survivor
45317,The Fighter
502682,Book Club
17431,Moon
258216,Nymphomaniac: Vol. I
65057,The Descendants
346685,The Girl on the Train
301337,Downsizing
264644,Room
541737,G'stätten
9762,Step Up
462391,Aan Devathai
550958,Holy Lands
20069,Manual of Love 2
310307,The Founder
5915,Into the Wild
1164,Babel
27022,The Sorcerer's Apprentice
519185,Ayka
253412,Everest
